,time,unit,layers,value
7213,14.0,36,4,3.00261310501
7214,15.0,36,4,3.09797286215
7215,16.0,36,4,3.18444335185
7216,17.0,36,4,3.26285318921
7217,18.0,36,4,3.33395374038
7218,19.0,36,4,3.39842642899
7219,20.0,36,4,3.45688894408
7220,21.0,36,4,3.50990176423
7221,22.0,36,4,3.55797269126
7222,23.0,36,4,3.60156262747
7223,24.0,36,4,3.64108903109
7224,25.0,36,4,3.67693096007
7225,26.0,36,4,3.7094316163
7226,27.0,36,4,3.73890270695
7227,28.0,36,4,3.76562619678
7228,29.0,36,4,3.78985820687
7229,30.0,36,4,3.81183116094
7230,31.0,36,4,3.83175645962
7231,32.0,36,4,3.84982458069
7232,33.0,36,4,3.86620843939
7233,34.0,36,4,3.88106488112
7234,35.0,36,4,3.89453631443
7235,36.0,36,4,3.90675161661
7236,37.0,36,4,3.91782832507
7237,38.0,36,4,3.92787299515
7238,39.0,36,4,3.93698117941
7239,40.0,36,4,3.94524034181
7240,41.0,36,4,3.95272971941
7241,42.0,36,4,3.95952059635
7242,43.0,36,4,3.96567844491
7243,44.0,36,4,3.97126252318
7244,45.0,36,4,3.97632578787
7245,46.0,36,4,3.98091713685
7246,47.0,36,4,3.98508077847
7247,48.0,36,4,3.98885611785
7248,49.0,36,4,3.99227953807
7249,50.0,36,4,3.99538394529
7250,51.0,36,4,3.99819878818
7251,52.0,36,4,4.00075125009
7252,53.0,36,4,4.0030658949
7253,54.0,36,4,4.0051646556
7254,55.0,36,4,4.00706779725
7255,56.0,36,4,4.00879358211
7256,57.0,36,4,4.01035825302
7257,58.0,36,4,4.01177676642
7258,59.0,36,4,4.01306277262
7259,60.0,36,4,4.01422879947
7260,61.0,36,4,4.01528651039
7261,62.0,36,4,4.01624628445
7262,63.0,36,4,4.01711701238
7263,64.0,36,4,4.01790690166
7264,65.0,36,4,4.01862327968
7265,66.0,36,4,4.01927268074
7266,67.0,36,4,4.0198612349
7267,68.0,36,4,4.02039458018
7268,69.0,36,4,4.02087785107
7269,70.0,36,4,4.02131586431
7270,71.0,36,4,4.02171313586
7271,72.0,36,4,4.02207319052
7272,73.0,36,4,4.02239947458
7273,74.0,36,4,4.02269535115
7274,75.0,36,4,4.02296404471
7275,76.0,36,4,4.02320845111
7276,77.0,36,4,4.02343034976
7277,78.0,36,4,4.02363170094
7278,79.0,36,4,4.02381430479
7279,80.0,36,4,4.02397976243
7280,81.0,36,4,4.02412957395
7281,82.0,36,4,4.02426523238
7282,83.0,36,4,4.0243880847
7283,84.0,36,4,4.02449943319
7284,85.0,36,4,4.0246005674
7285,86.0,36,4,4.02469240961
7286,87.0,36,4,4.02477565113
7287,88.0,36,4,4.02485108693
7288,89.0,36,4,4.02491944769
7289,90.0,36,4,4.02498140823
7290,91.0,36,4,4.02503752014
7291,92.0,36,4,4.02508828924
7292,93.0,36,4,4.02513419745
7293,94.0,36,4,4.02517569311
7294,95.0,36,4,4.02521319761
7295,96.0,36,4,4.02524709915
7296,97.0,36,4,4.0252777798
7297,98.0,36,4,4.02530562056
7298,99.0,36,4,4.02533100792
7299,100.0,36,4,4.02535427513
7300,101.0,36,4,4.0253755578
7301,102.0,36,4,4.02539505399
